task,complexity,trials,passes,pass_rate_pct,avg_cost_usd
superjson-error-stack-serialization,0.3,12,0,0.0,0.9
koota-deferred-mutation-buffer,6.6,12,1,8.3,4.42
bandit-structured-nosec-directives,3.2,12,2,16.7,2.21
cliffy-config-file-parsing,3.6,12,2,16.7,2.44
expr-try-catch-errors,6.3,12,2,16.7,3.44
kombu-virtual-queue-dead-lettering,4.4,12,2,16.7,2.74
quill-shared-toolbar-focus,5.0,12,2,16.7,4.76
arktype-json-schema-refs-dependencies,8.0,12,4,33.3,5.99
boa-hierarchical-evaluation-cancellation,8.1,12,4,33.3,7.48
csstree-shorthand-expansion-compression,2.0,12,4,33.3,1.99
dateutil-rfc5545-timezone-interop,2.4,12,4,33.3,1.89
awilix-async-container-initialization,1.5,12,5,41.7,1.6
clack-async-autocomplete-options,2.1,12,5,41.7,1.68
kombu-single-active-consumer-priority,2.1,12,5,41.7,1.6
abs-module-cache-flags,1.6,12,6,50.0,1.38
bandit-interprocedural-taint-checks,1.6,12,6,50.0,1.59
claude-code-by-agents-recursive-delegation,0.1,12,6,50.0,1.43
optique-conditional-option-dependencies,7.2,12,6,50.0,4.14
abs-stepped-slices,1.5,12,7,58.3,1.89
anko-typed-variable-bindings,0.9,12,8,66.7,1.7
yjs-map-conflict-detection,5.5,12,8,66.7,3.09
psd-tools-blend-range-api,2.4,12,9,75.0,1.76
task-task-graph-export,1.8,12,9,75.0,1.89
bandit-incremental-cache-control,2.5,12,10,83.3,1.84
actionlint-action-pinning-lint,3.5,12,11,91.7,2.26
aiomonitor-task-snapshots-diff,1.4,12,11,91.7,1.28
arcane-drift-detection-baselines,3.2,12,11,91.7,4.43
cattrs-partial-structuring-recovery,1.8,12,11,91.7,1.44
fastapi-deprecation-response-headers,2.2,12,11,91.7,1.9
fd-deterministic-multi-key-sorting,2.2,12,11,91.7,1.42
kcp-go-multiplexed-kcp-streams,2.1,12,11,91.7,4.55
adaptix-name-mapping-aliases,8.3,12,12,100.0,4.12
anko-default-function-arguments,4.4,12,12,100.0,3.83
